"","plotID","lastInvYr","lastInvYrSD","priSpecies","secSpecies","priSpeciesName","secSpeciesName","owner","ownerCD","volPerAcre","SI","dominantTreeAge","dominantTreeheight"
"189",484816562489998,2018,0,12,20,"True fir","Incense-cedar","Forest Service",10,14179.1357702335,48,NA,140
"190",484816563489998,2018,0,12,10,"True fir","Douglas-fir","Private and Native American",40,3766.79138752327,66,NA,126
"191",484816564489998,2018,0,46,24,"Oak","Other western softwoods","Forest Service",10,387.959327456956,77,NA,33
"192",484816566489998,2018,0,46,10,"Oak","Douglas-fir","Forest Service",10,7699.58727306675,41,NA,58
"193",484816568489998,2018,0,12,20,"True fir","Incense-cedar","Private and Native American",40,11170.6362876201,43,NA,136
"194",484816571489998,2018,NA,24,NA,"Other western softwoods",NA,"Forest Service",10,0,83,NA,NA
"195",484816572489998,2018,0,11,20,"Ponderosa and Jeffrey pines","Incense-cedar","Forest Service",10,1510.12382016266,64,NA,75
"196",484816573489998,2018,0,46,10,"Oak","Douglas-fir","Forest Service",10,8070.51155841283,68,NA,109
"197",484816577489998,2018,0,46,24,"Oak","Other western softwoods","Private and Native American",40,1485.7850680272,102,NA,36
"198",484816587489998,2018,0,12,11,"True fir","Ponderosa and Jeffrey pines","Private and Native American",40,1684.80866689237,44,NA,82
"199",484816589489998,2018,0,46,10,"Oak","Douglas-fir","Forest Service",10,8985.2882832696,62,NA,93
